mage,mmarital,meduc,mdegree,amsalary,amhsinc,amphyfn,amphylmt,amslfstm,ammaster,amspspt,amsphos,ammarstb,amsoccap,amclosef,amtang,ambelong,amappris,amfinpbm,amecnstt,amecnadj,wage,wmarital,weduc,wdegree,awsalary,awhsinc,awphyfn,awphylmt,awslfstm,awmaster,awspspt,awsphos,awmarstb,awsoccap,awclosef,awtang,awbelong,awappris,awfinpbm,awecnstt,awecnadj
45,2,12,2,69.6,115,2,3,32,23, ,14,5,8,11,13,14,11,8,23,2,42,2,13,3,45.6,115,11,3,28,21,19,12,5,17,16,14,14,11,8,23,2
40,2,13,3,360,622,0,0,41,29,22,10,5,24,18,19,20,15,7,6,0,35,2,15,4,42,622,1,2,41,27,23,12,5,25,18,20,20,15,7,6,0
 , , , , , , , , , , , , , , , , , , , ,0,45,3,18,5,54,70,4,0,29,19, , ,0,18,12,14,15,11,6,25,4
 , , , , , , , , , , , , , , , , , , , ,0,21,1,12,3,30,28,1,2,22,14, , ,0,8,2,6,7,8,4,23,6
39,2,13,2,120,0,0,0,41,28, ,12,6,9,10,13,14,11,6,18,6,39,2,13,4,60,0,4,0,38,25,22,11,7,28,12,17,15,14,6,20,9
32,2,13,3,84.672,0,1,2,36,20,27,10,5,0,14,18,16,11,12,17,13,32,2,13,2,0,0,0,3,32,21,24,8,5,16,15,20,19,14,12,17,13
24,2,12,3,60,54,1,0,27,19,16,16,7,3,17,16,15,11,9,26,4,20,2,11,3,0,54,3,2,32, ,16,12,6,5,17,16,15,13,9,25,6
36,2,9,2,42,0,4,3, ,20,21,12,6,14,15,11,14,11,6,22,6,38,2,13,3,0,0,1,0,37,22,14,12,5,15,20,16,14,11,6,21,6
27,2,13,2,36.288,80,1,1,37,28,23,22,5,17,20,11,12,9,6,24,3,23,2,12,3,39.6,80,2,0,36,25,21,17,5,23,20,13,11,9,6,24,3
49,2,15,5,72,155,5,0,36,25,23,21,8,28,10,15,16,12,5,24,4,47,2,13,3,72,155,2,1,29,21,15,21,5,16,13,18,18,13,5,24,3
36,2,12,2,84,100,0,2,35,25,19,17,20,11,17,13,14,10,7,23,7,32,2,13,3,48,110,2,0,32,21,18,12,20,10,19,15,13,11,8,21,9
73,2,8,2,0,130,1,0,30,16,15,19,5,0,2,10,11,7,6,14,3,70,2,8,1,0,130,11,2,33,24,15,18,5,5,9,12,14,12,6,14,3
 , , , , , , , , , , , , , , , , , , , ,0,39,3,16,3,60,90,5,4,37,26, , ,0,21, ,16,16,12,9,25,11
64,2,15,3,0,40,6,4,25,17,17,14,6,20,14,14,18,15,13,26,9, , , , , , , , , , , , , , , , , , , , ,0
46,2,12,2,63.6,130,5,1,37,28,19,17,5,20,19,16,19,15,7,25,7,48,2,14,3,60,130,1,1,31,24,17,13,5,7,13,14,13,12,6,24,2
39,2,16,3,72,150,2,1,36,27,20,17,5,10,10,12,14,9,6,21,5,39,2,18,5,72,150,2,0,32,25,19,13,6,24,12,17,18,15,4,23,7
52,2,8,1,58.464,180,0,0,31,23,22,11,5,16, ,15,11,8,5,17,4,51,2,17,5,92.4,180,0,0,38,26,19,15,5,30,7,12,15,11,5,12,0
45,2,22,5,120,170,0,3,37,24,22,16,5,16,14,16,17,12,9,27,3,41,2,11,2,49.2,170,0,3,33,22,22,14,5,8,15,12,14,11,8,24,4
68,2,13,4,0,105,1,0,40,35,25,9,5,20,20,15,16,11, ,19,9,57,2,13,3,66,106,3,0,43,31,28,6,5,1,13,10,13,8,6,21,8
49,2,16,5,120,230,2,0,27,27,19,17,6,23,16,19,17,15,9,14,7,50,2,16,5,96,230,2,0,40,24,21,21,5,14,18,18,19,15,8,14,2
51,2,8,2,48,100,2,2,38,22,17,13,5,11,18,18,16,13,9,20,8,51,2,10,3,51.6,100,6,4,39,26,20,19,5,18,18,16,17,12,5,18,4
40,2,12,2,64.8,129,0,2,29,26,15,15,5,11,12,17,17,14,11,22,6,37,2,13,3,66,129,4,0,31, ,14,16,5,16,16,19,18,15,11,22,6
39,2,12,2,54,120,0,0,26,23,6,8,5,5,20,16,14,11,8,25,5,37,2,13,3,63.6,120,0,0,29,19,19,15,9,12,18,15,16,11,10,23,8
41,2,12,2,74.592,108,0,2,40,30,18,19,6,14,13,17,16,12,8,21,7,40,2,13,3,60,100,1,4,40,28,20,10,7,17,15,18,17,13,4,20,4
34,2,12,2,0,150,0,0,28,16,15,22,20,13,13,14,15,12,6,16,0,30,2,16,5,79.992,150,0,3,35,23,11,24,13,15,12,17,17,14,6,15,1
 , , , , , , , , , , , , , , , , , , , ,0,52,4,10,3,60,48,9,4,32,21, , ,0,14, ,15,18,11,10,28,8
53,2,12,3,108,156,1,0,35,28,20,11,5,27,11,10,12,10,5,14,0,46,2,13,3,72,156,0,0,38,25,13,13,5,27,12,16,17,12,5,11,0
70,2,13,3,0,57,1,0,40,28,27,8,5,15,16,13,14,8,5,16,1,65,2,11,2,0,56,4,0,39,25, ,6,5,10,12,11,15,10,6,20,3
43,2,13,3,49.2,83,1,0,38,23,17,10,5,10,2,12,12,9,8,21,4,45,2,11,2,28.8,83,3,0,36,24,23,9,5,9,2,12,13,12,8,19,3
39,2,13,3,90,130,0,4,33,27,15,12,5,8,11,13,15,11,9,26,4,36,2,13,3,48,130,0,0,38,28, ,7,5,4,17,20,19,16,8,29,3
40,2,13,3,0,170,1,0,38,24,21,18,6,25,15,16,13,13,5,13,5,39,2,13,3,56.4,170,4,0,38,23,21,17,6,4,15,17,14,13,5,13,5
51,2,11,2,36,91,4,1,30,24,19,9,5,4,8,17,15,12,9,23,8,47,2,13,3,50.4,91,1,0,35,26,22,7,5,17,19,18,19,15,8,19,8
23,2,14,3,42,64,0,1,37,28,23,12,5,17,13,19,17,14,6,18,2,22,2,12,2,0,0,0,0,41,30,24,8,5,15,19,20,18,15,6,20,4
80,4,8,1,0,27,12,4,36,26, , ,0,3, ,10,10,9,7,22,8, , , , , , , , , , , , , , , , , , , , ,0
35,2,15,3,81.6,150,0,0,47,35,24,7,5,22,18,16,19,14,5,18,0,30,2,13,4,48,150,3,0,32,23,24,10,8,15,14,17,14,14,6,19,0
20,2,12,2,40.8,80,0,0,37,24,20,11,5,13,9,16,16,12,8,18,5,19,2,12,3,0,80,0,2,33,14,20,10,5,25,18,14,17,10,9,18,3
40,2,13,2,66,110,0,3, ,26,22,13,5,14,14,14,13,10,7,25,7,31,2,14,3,51.6,110,1,4,30,25,21,12,5,9,18,17,12,12,6,27,5
27,2,12,3,72,110,2,0,33,24,14,13,5,8,14,15,17,13,7,19,1,27,2,12,3,60,110,0,3,35,26,12,10,9,15,19,20,17,14,8,22,1
49,2,12,2,32.4,75,13,4,24,17,12,18,5,9,2,9,6,9,10,23,8,42,2,15,4,60,180,2,0,30,24,21,23,5,16,18,18,19,14,10,22,6
 , , , , , , , , , , , , , , , , , , , ,0,35,1,15,3,50.4,96,2,4,30,20, , ,0,10,14,18,17,11,10,21,6
41,2,12,2,50.4,92,0,0,36,27,21,11,5,11,10,15,14,12,8,20,8,39,2,13,3,38.4,92,0,0,35,27,19,8,5,15,10,14,14,12,9,20,7
42,2,12,2,39.6,90,0,2,32,19, ,14,5,20,16,20,15,10,13,30,14,40,2,13,3,39.6,90,0,0,44,26,20,16,16,25,19,19,17,16,13,30,15
54,2,12,3,84,180,5,4, ,26,21,13,5,10,13,15,13,12,7,23,7,50,2,12,4,69.6,200,7,4,34,25,19,12,5,19,10,13,11,12,7,19,7
44,2,17,3,54,128,2,0,33,22,23,17,5,14,14,16,14,11,7,29,9,43,2,13,3,45.6,128,0,1,32,25,25,15,5,28,14,17,14,12,8,29,9
51,2,16,5,84,145,2,0,41,27,21,13,5,28,10,12,13,11,6,24,0,43,2,15,3,60,150,2,0,31,20,19,15,5,18,13,12,14,6,7,23,3
41,2,9,2,60,90,7,3,27,25,13,20,12,8,9,12,8,8,11,18,8,39,2,13,3,38.4,85,3,0,40,30,11,19,6,10,13,17,15,13,8,25,6
43,2,12,2,72,120,0,0,38,30,17,16,9,14, ,10,15,10,8,25,8,39,2,13,4,66,120,4,0,38,28,16,18,7,24,2,11,15,10,6,25,8
25,1,12,4,0,80,0,1,32,28, , ,0,20,20,20,19,15,9,22,0, , , , , , , , , , , , , , , , , , , , ,0
20,2,12,2,25,70,1,1,39,25,24,11,6,4,19,18,14,14,5,11,5,20,2,12,3,58.8,70,3,2,34,26,19,11,5,8,19,15,16,13,5,17,4
22,2,11,1,60,76,0,2,33,23,14,13,5,2,3,16,13,9,8,24,0,21,2,11,2,0,76,3,0,33,18,14,16,6,1,10,20,16,11,8,18,2
49,2,13,4,86.4,105,3,1, ,23,18,12,5,6,12,15,14,11,6,21,5,43,2,12,4,62.4,104,1,0,33,24,13,15,6,7,12,16,18,13,6,19,5
 , , , , , , , , , , , , , , , , , , , ,0,40,3,13,3,53.76,73,0,1,32,27, , ,0,23,8,17,16,13,9,25,9
30,2,17,5,78,109,1,0,35,28,17,13,5,27,11,14,15,14,7,24,6,30,2,18,5,71.5,109,1,0,40,33,22,9,5,26,16,15,17,13,7,23,4
 , , , , , , , , , , , , , , , , , , , ,0,70,4,10,3,0,41,8,0,41,23, , ,0,6, ,11,12,9,5,27,2
30,2,12,2,78,190,0,1,35,20,15,21,5,14,17,16,16,13,7,16,0,28,2,15,3,0,180,1,1,32,21,10,23,6,18,14,14,15,11,5,21,5
67,2,13,3,0,85,7,3,42,23,16,18,6,8,18,14,16,11,6,25,8,60,2,17,5,0,85,3,1,39,25,15,13,5,27,17,14,14,12,6,26,8
44,2,9,2,60,105,0,1,39,25,27,13,5,8,18,17,13,13,8,23,3,39,2,13,3,36,104,1,0,39,22,22,7,5,10,17,15,15,14,5,17,0
44,2,11,2,40.32,78,1,0,33,25,22,18,5,4,18,13,18,14,6,24,8,43,2,9,2,38.304,78,1,0,37,27,23,11,5,14,18,15,17,14,6,24,8
 , , , , , , , , , , , , , , , , , , , ,0,21,3,15,3,0,30,1,0,28,14, , ,0,9, ,18,17,11,10,26,5
72,2,13,3,0,48,5,0,42,31,26,9,5,20,15,12,15,9,9,20,6,71,2,8,1,0,57,7,3,36,22,14,11,5,10,10,15,14,11,5,17,6
29,2,13,3,52.8,62,0,1,33,29,16,16,7,15,7,15,14,8,7,23,6,25,2,12,3,0,61,0,4,34,23,15,13,7,16,11,13,12,11,7,23,5
56,2,19,5,62.4,98,1,0,35,21,24,10,5,20,10,18,15,11,8,23,10,51,2,11,4,45.6,98,2,1,32,23,24,8,1,16,16,17,15,13,6,29,11
55,2,17,5,68.4,128,3,0,36,22,12,15,5,10,11,15,15,12,5,19,1,52,2,12,3,67.2,118,1,0,38,29,17,16,5,17,12,14,15,12, ,15,2
49,2,8,2,87.024,136,0,0,40,27,19,11,5,8,14,17,16,14,5,14,3,47,2,12,3,57.6,136,2,0,34,24,20,10,5,23,13,16,15,12,6,16,5
73,2,11,2,0,58,8,4,38,22,21,19,5,6,14,13,16,12,8,27,9,68,2,11,3,0,58,13,4,30,23,16,14,5,16,13,15,19,14,8,26,9
 , , , , , , , , , , , , , , , , , , , ,0,66, ,9,1,0,40,3,0,37,27, , ,0,7, ,18,13,12,6,18,5
 , , , , , , , , , , , , , , , , , , , ,0,27,1,12,2,0,28,6,4,25,19, , ,0,17, ,19,13,11,9,27,5
51,2,17,5,96,190,1,0, ,27,19,8,5,18,11,14,16,14,6,19,3,50,2,14,3,61.2,94,3,4,37,19,18,10,5,5,9,14,18,8,11,29,11
61,2,12,3, ,87,6,2,32,21,9,19,6,12,10,15,16,15,11,26,10,55,2,11,2,0,91,3,0,37,21,13,21,6,8,10,15,17,14,8, ,9
32,2,15,3,102,165,0,0,39,29,23,11,5,17,18,14,15,12,7,12,0,30,2,14,3,48,180,0,0,29,29,27,9,5,16,14,13,17,11,5,12,3
24,2,12,3,54,110,1,1,32,27,15,12,5,8,11,17,15,14,7,23,7,23,2,12,2, ,100,0,0, ,21,15,11,5,8,12,15,13,12,6,30,7
 , , , , , , , , , , , , , , , , , , , ,0,29,1,15,4,60,87,0,0,44,27, , ,0,9,9,17,18,13,8,22,1
63,4,13,3,0,40,5,0,39,24, , ,0,24, ,17,12,10,8,22,8, , , , , , , , , , , , , , , , , , , , ,0
35,2,13,3,84,145,0,0,37,25,18,14,6,9,11,13,15,11,8,26,5,32,2,13,3,0,145,3,1,36,22,13,16,8,20,13,12,13,12,12,26,7
42,2,13,4,78,143,0,0,40,28,25,12,5,15,16,15,15,14,4,14,3,37,2,13,3,52.8,143,0,0,39,28,25,11,5,14,14,16,17,15,4,14,3
35,2,18,5,78,115,1,0,36,20, ,22,6,13,10,15,15,12,5,17,1,35,2,17,5,63.6,115,1,0,37,21,15,17,5,18,11,16,15,14,5,19,1
32,2,14,3,66,140,0,1,34,26,17,13,6,15,11,15,20,15,7,20,3,30,2,13,3,57.6,140,0,0,41,8,8,15,6,4,17,17,16,12,8,21,3
 , , , , , , , , , , , , , , , , , , , ,0,40,3,15,4,54,55,2,0,29,19, , ,0,17,15,14,14,14,8,24,6
 , , , , , , , , , , , , , , , , , , , ,0,48,4,13,3,69.6,48,3,2,35,29, , ,0,8,13,17,13,13,6,22,6
 , , , , , , , , , , , , , , , , , , , ,0,48,3,15,3,72,96,1,0,34, , , ,0,18,10,15,15,10,9,20,4
36,2,17,3,72,200,1,0,47,35,15,15,8,17,11,14,17,7,4,13,0,33,2,13,3,57.6,200,0,0, ,25,18,11,9,10,10,18,15,14,4,16,1
57,2,12,3,84,150,1,0,43,31,24,8,5,15,20,14,12,14,6,28,4,50,2,12,3,48,150,0,0,32,16, ,18,5,30,19,17,17,13,5,28,3
38,2,9,2,100.8,144,4,0,32,21,27,15,6,7,20,14,16,14,11,29,9,42,2,9,2,51.6,124,3,0,34,24,17,12,6,17,20,15,13,13,11,29,8
42,2,18,5,115.2,130,2,3,42,27,12,20,5,33,8,18,10,13,12,27,10,42,2,18,5,60,120,1,0,43,28,19,15,8,22,9,16,16,16,5,18,2
58,2,17,5,96,165,1,0,31,23,20,13,5,5,10,10,10,9,6,22,0,53,2,11,3,50.4,165,7,4,35,25,23,6,5,18,13,14,11,11,6,16,0
49,5,8,2,60,60,10,0,35,26,24,7,5,15,11,15,17,11,11,23,11, , , , , , , , , , , , , , , , , , , , ,0
 , , , , , , , , , , , , , , , , , , , ,0,44,3,17,5,72,121,1,1,29,17, , ,0,18, ,7,11,11,6,28,3
37,2,12,2,60,120,5,2,32,19,16,15,5,5,2,8,11,5,12,26,9,31,2,12,3,43.2,120,6,0,23,15,8,19,5,1,8, ,10,6,14,19,9
44,2,13,3,4.5,204,2,2,25,22,12,15,14,17,13,13,15,12,9,24,5,44,2,13,3, ,120,4,0,33,22,14,13,5,25,17,20,16,15,9,21,6
34,2,15,3,72,158,0,0,30,25,27,6,5,1,2,13,12,12,9,27,7,35,2,13,3,62.4,158,12,4,41,30,28,9,6,15,11,14,15,12,9,25,7
41,2,12,4,156,195,1,0,37,22,28,8,5,5,12,20,19,15,10,22,5,44,2,12,4,81.6,195,0,0,38,27,18,9,6,24,13,15,14,13,10,23,5
 , , , , , , , , , , , , , , , , , , , ,0,52,3,13,3,324.48,110,2,0,36,24, , ,0,21,13,17,17,14,7,23,0
 , , , , , , , , , , , , , , , , , , , ,0,40,3,13,3,54,51,0,0,40,28, , ,0,19, ,20,16,15,14,30,11
50,2,12,3,1008,1070,1,0,33,19,19,24,7,3,6,16,12,10,4,6,0,41,2,13,3,69.996,100,0,0,32,26,14,14,8,25,11,16,16,13,5,12,0
39,2,17,3,84,130,0,0,46,30,28,10,5,23,16,19,20,12,7,18,1,36,2,13,4,0,111,0,0,47,27,25,8,6,16,13,20,19,16,6,10,1
42,2,12,2,66.816,108,1,2,35,23,17,17,8,14,13,15,15,11,8,24,6,42,2,11,2,32.4,108,1,0,37,26,19,15,8,13,14,17,15,11,6,24,5
39,2,12,2,67.2,100,0,0,38,19,20,11,5,10,9,17,16,15,10,24,8,39,2,13,3,55.2,104,5,1,40,17,25,7,5,15,13,17,18,14,11,29,8
 , , , , , , , , , , , , , , , , , , , ,0,59,3,11,2,0,32,3,3,28,20, , ,0,15, ,18,14,9,9,23,10
 , , , , , , , , , , , , , , , , , , , ,0,39,3,13,3,75.6,113,3,1,34, , , ,0,27,11,17,16,12,9,23,7
26,2,14,3,60,85,0,0,42,29,14,18,5,11,10,15,15,12,9,20,12,24,2,12,3,0,84,1,1,37,27,11,21,7,19,14,20,15,15,9,20,11
50,2,11,4,96,160,1,1,32,21,15,15,6,14,13,12,15,12,8,22,6,49,2,13,4,60,160,1,1,34,25,20,14,5,23,14,12,14,11,6,19,0
56,2,16,6,100.008,168,8,1,36,28,18,11,5,19,3,15,15,15,5,29,10,54,2,12,3,60,120,3,0,39,26, , ,0,35,2,14,12,13,10,30,6
29,2,12,2,252,72,0,0,38,28,19,17,6,13,11,18,16,13,8,17,8,29,2,11,2, ,72,0,0,35,22,13,15,5,3,16,16,14,10,8,18,3
 , , , , , , , , , , , , , , , , , , , ,0,48,1,12,4,0,63,9,4,26,18, , ,0,19, ,19,18,15,9,25,13
 , , , , , , , , , , , , , , , , , , , ,0,44,3,13,3,60,70,0,0,45,29, , ,0,26, ,11,12,9,12,26,12
48,2,8,2,144,130,1,1,33,21,22,14,5,26,18,17,15,11,7,28,10,38,2,8,2,84,110,0,3,32,17,20,17,5,17,19,17,16,10,10,28,9
28,2,12,2,84,87,0,0,40,29,22,6,5,13,17,19,19,14,12,28,9,28,2,13,3,25,87,1,0,37,27,23,5,5,7,14,19,18,14,12,28,10
63,3,10,3,0,28,13,0,36,27, , ,0,2,9,17,12,12,10,17,7, , , , , , , , , , , , , , , , , , , , ,0
 , , , , , , , , , , , , , , , , , , , ,0,49,2,12,3,76.8,156,0,0,40,28,10,30,12,30,18,16,17,13, ,16,2
40,2,18,5,180,200,0,0,40,30,22,12,7,22,19,20,17,15,6,14,0,38,2,13,3,54,200,1,0,36,26,19,13,11,19,14,17,15,14,6,13,1
53,2, ,5,300,400,2,0,37,28,23,18,6,13,6,15,14,13,8,14,1,47,2,13,3,144,400,6,1,44,35,23,14,7,30,14,16,18,14,6,17,1
37,2,18,5,96,74,3,1,38,22,16,15,5,10,10,16,15,15,12,19,10,32,2,17,5,0,84,4,3,31,20,6,27,17,25,9,18,19,13,12,29,8
42,2,21,5,120,252,0,0,28,23,20,12,5,16,13,15,15,9,5,26,1,38,2,14,3,48,252,3,0,28,21,23,13,5,10,13,17,15,13,9,27,5
 , , , , , , , , , , , , , , , , , , , ,0,37,1,19,5,76.608,90,1,2,20,21, , ,0,25, ,16,16,13,8,30,10
57,2,13,3,84,140,8,4,27,22,16,18,7,18,14,14,11,10,7,26,4,56,2,11,3,66,0,9,0,30,18,16,22,5,24,15,12,10,10,6,22,1
57,2,19,5,120,216,0,2,37,28,20,15,6,25,8,14,15,11,5,22,3,49,2,17,5,156,216,1,2,35,25,20,15,6,18,10,12,15,13,5,22,3
47,2,21,5,102,230,2,2,30,24,8,23,11,29,8,11,13,8,12,30,9,47,2,12,4,60,196,3,2,30,21,8,20,11,12,13,19,17,13,10,27,5
46,2,13,3,72,180,3,2,33,20,14,11,6,20,11,15,13,13,6,23,3,42,2,13,3,84,180,2,0,37,27,16,8,5,6,16,12,13,11,5,19,1
47,2,8,2,61.44,130,7,0,36,22,24,14,5,16,15,9,14,13,6,30,10,45,2,12,2,27.6,120,5,3,39,28,25,11,5,32,18,20,20,16,8,25,9
 , , , , , , , , , , , , , , , , , , , ,0,58,1,23,5,75.696,90,2,1,33,17, , ,0,25, ,17,14,15,10,30,6
41,2,13,2,150,200,2,2,42,33,7,15,5,28,14,20,16,15,7,13,1,43,2,14,3,78,200,2,0,40,25,12,10,5,15,17,20,18,14,9,15,3
51,2,17,5,90.72,200,1,1,36,27,18,17,6,15,2,12,10,13,8,28,11,49,2,16,5,60,200,3,3,30,21,7,16,5,31,10, ,17,10,11,29,12
65,2,13,3,0,70,5,0,31,23,20,13,5,27,12,16,14,12,9,17,4,61,2,12,4,0,70,8,4,40,18,19,9,5,14,9,19,15,11,5,11,4
52,2,19,5,87.6,155,0,0,34,26,9,17,14,10,7,14,15,12,5,24,3,48,2,13,3,64.8,150,1,0,36,25,11,22,14,19,10,13,15,12,5,11,1
 , , , , , , , , , , , , , , , , , , , ,0,38,3,13,3,72,180,1,2,38,25,21,5,0,4,9,15,15,13,4,18,0
 , , , , , , , , , , , , , , , , , , , ,0,45,4,14,3,84,90,1,0,38,28, , ,0,20, ,19,18,15,8,21,2
70,2,20,5, ,57,11,1,45,34,28,17,5,11,5, ,11,11,4,12,3,67,2,9,2,0,57,10,3,48,30,28,12,5,13,2,8, , ,6,12,2
47,2,21,6,1560,500,3,0,42,25,21,11,5,24,13,16,15,10,5,16,0,46,2,17,3,66,500,4,0,39,26,20,13,5,20,11,15,16,11,5,15,0
40,2,13,3,360,430,4,1,38,28,10,15,6,7,9, ,13,11, ,10,0,43,2,12,2,44.4,150,1,0,28,23,14,18,5,17,11,20,16,16,4,14,1
44,2,12,4,82.656,173,0,0,42,30,23,6,5,19,13,13,19,11,11,24,8,36,2,12,3,39.6,173,1,0,37,28,23,7,5,17,12,13,16,9,12,27,7
 , , , , , , , , , , , , , , , , , , , ,0,47,2,15,3,90,110,2,1,32,25, , ,0,31, ,10,10,8,12,22,8
 , , , , , , , , , , , , , , , , , , , ,0,41,3,14,3,48,90,2,2,31,19,11,26,8,21,10,16,16,12,9,22,8
71,2,14,4,0,74,5,4,40,24,24,12,5,14,19,13,16,13, ,27,11,69,2,13,3,0,75,5,4,40,23,26,10,5,30,19,13,16,14,6,26,10
40,2,12,3,84,117,0,4,37,18,10,17,7,21,13,17,13,9,11,22,10,37,2,18,5,0,117,0,2,37,25,19,11,5,28,13,15,16,13,8,22,11
37,2,12,2,70.56,80,6,4,22,19,18,15,3,17,15,15,14,11,10,26,7,33,2,17,3,50.4,130,5,0,32,27,15,16,2,20,13,15,16,14,11,20,9
 , , , , , , , , , , , , , , , , , , , ,0,80,4,12,2,0,26,7,0,48,20, , ,0,0, , , , , , ,0
30,2,18,5,104.4,105,0,3,31,26,21,16,14,18,11,16,12,14,8,16,3,30,2,13,3,48,105,1,4,37,25,19,12,15,13,12,17,16,12,6,12,1
65,2,16,5,0,75,10,4,33,19,17,16,5,27,9,9,7,10,8,20,8,60,2,13,3,0,75,8,4,34,25,20,10,5,19,10,14,15,11,8,24,8
33,2,18,5,114,95,1,0,36,27,13,19,8,12,11,14,15,13,6,20,5,33,2,18,5,0,100,4,1,35,31,13,17,7,9,18,19,17,16,7,18,2
29,1,20,5,228,300,0,0,41,32,15,21,6,19,14,15,15,12, ,14,2,29,2,15,4,60,300,0,1,28,21,17,18,7,11,14,17,16,13, ,14,2
38,2,18,5,130.008,180,1,2,41,28,23,11,5,10,13,17,19,14,4,15,0,35,2,17,5, ,180,1,2,32,22,20,9,6,31,13,17,17,15,6,17,2
 , , , , , , , , , , , , , , , , , , , ,0,44,4,15,4,0,50,8,4,40,27, , ,0,10,9,15,10,6,13,25,12
 , , , , , , , , , , , , , , , , , , , ,0,36,1,13,3,66,118,2,2,27,25, , ,0,25, ,10,10,10,8,26,9
79,2,17,5,0,88,1,1,34,21,26,12,5,28,13,10,14,9,7,27,5,73,2,8,2,0,88,2,4,31,20,26,12,0,28,15,9,13,7,7,26,5
33,2,15,2,0,0,3,1,24,21,21,11,11,0,7,15,9,8,8,30,12,32,2,16,4,72,0,5,1,22,17,15,20,11,10, ,10,10,7,9,30,9
59,2,11,2,0,67,0,0,42,32,25,13,0,3,15,13,14,10,12,28,8,58,2,11,3,0,6,4,2,42,32,28,12,0,8,16,14,14,9,13,28,8
51,2,13,3,72,150,1,0,38,32,22,14,5,25,12,8,16,13,7,24,3,51,2,13,3,0,150,7,4,44,30,19,11,5,33,15,20,19,14,6,21,1
 , , , , , , , , , , , , , , , , , , , ,0,51,1,14,4,96,150,1,2,31,20, , ,0,34, ,18,19,15,8,14,2
37,2,12,1,47.232,150,1,0,41,26,17,14,5,16,9,14,16,11,9,21,6,39,2,13,3,48,150,0,0,34,27,5,25,8,22,10,18,18,15,6,23,6
