mage,mmarital,meduc,mdegree,amsalary,amhsinc,amphyfn,amphylmt,amslfstm,ammaster,amspspt,amsphos,ammarstb,amsoccap,amclosef,amtang,ambelong,amappris,amfinpbm,amecnstt,amecnadj,wage,wmarital,weduc,wdegree,awsalary,awhsinc,awphyfn,awphylmt,awslfstm,awmaster,awspspt,awsphos,awmarstb,awsoccap,awclosef,awtang,awbelong,awappris,awfinpbm,awecnstt,awecnadj
51,2,19,5,144,199,2,0,38,26,21,15,5,23,14,16,16,13, ,22,7,47,2,15,3,60,200,5,0,25,23,19,9,5,5,20,16,15,13,8,23,7
37,2,24,5,60,100,2,0,38,28,11,23,11,25,14,16,15,15,9,19,10,35,2,17,5,50.4,125,0,0, ,22,17,14,9,26,13,15,16,13,7,25,8
44,2,13,3,66,86,1,1,33,26,20,11,5,16,8,14,15,10,8,25,7,40,2,12,2,0,86,4,1,32,27,21,10,6,32,9,16,17,14,10,26,12
45,2,13,3,0,180,2,0,31,24,18,18,4,23,10,11,13,13,7,11,1,43,2,13,3,60,180,1,1,40,31,21,14,5,37,10,18,18,14,6,11,1
35,2,18,5,156,162,0,0,42,28, ,10,5,16,14,15,18,13,3,15,0,28,2,12,3, ,162,0,0,37,27,21,8,5,14,17,17,18,12,3,17,0
45,2,18,5,66,120,2,0,34,21,17,15,5,24,6,11,13,8,7,23,6,41,2,13,3,0,120,2,1,37,26,18, ,5,23,11,13,15,10, ,23,7
66,2, ,3,0,70,4,2,27,22,16,19,9,9,16,16,12,11,9,16,5,61,2,13,3,0,70,3,2,32,19,15,22,6,7,20,11,14,10,8,23,6
38,2,18,5,216,88,1,0,49,32,16,9,7,19,11,8,11,8,3,14,1,33,2,17,5,0,89,0,0,34,31,14,10,6,22,12,17,19,15,6,18,8
63,2,8,2,0,66,0,0,35,28,20,8,5,18,12,16,17,12,6,13,7,63,2,12,3,0,66,0,0,35, ,18,11,5,17,15,15,15,13,5,15,7
58,2,14,3,96,215,8,1,42,26,24,14,5,28,11,15,17,10,8,27,2,57,2,13,3,72,215,11,1,31,18,15,17,5,23,10,15,19,9,8,27,2
38,2,17,3,84,130,1,0,32,26,24,9,5,16,5,13,13,12,7,18,1,37,2,18,5,60,110,3,1,30,22,17,16,6,24,11,17,19,14,6,22,1
48,2,16,5,120,150,2,0,38,25,17,14,5,23,19,17,18,13,8,19,4,42,2,13,3,56.4,150,1,2,37,23,16, ,6,18,14,14,16,13,7,17,5
 , , , , , , , , , , , , , , , , , , , ,0,23,3,16,4,0,100,0,0,43,30, , ,0,21, ,17,20,16,7,20,5
42,2,18,5,78,138,0,0,43,26,21,10,5,15,8,10,13,11,6,22,6,43,2,12,4,64.8,138,1,0,35,25,20,12,5,24,5,15,15,12,6,22,6
47,2,9,2,0,81,8,4,40,29,13,22,11,4,12,14,17,12,8,22,8,45,2,12,3,0,78,1,0,32,23,13,20,17,20,10,11,16,10,7,23,5
50,2,18,5,132,180,0,0,38,28,22,11,5,9,11,14,14,12,6,15,3,47,2,15,4,79.992,180,1,4,42,18,25,11,5,31,19,14,16,14,8,23,6
69,2,14,3,0,71,7,1,38,26,19,14,5,8,20,13,14,11,9,26,11,64,2,12,3,0,71,3,0,39,30,20,14,5,23,17, , , ,9,27,12
46,2,17,5,121.2,174,2,1,47,25,21,10,5,13,10,10,14,8,8,22,4,43,2,13,3,55.2,174,0,0,36,19,20,16,4,11,15,16,17,13,8,23,4
 , , , , , , , , , , , , , , , , , , , ,0,63,3, ,3,0,70,7,4,30,21,19,15,0,24,9,16,14,9,8,23,9
 , , , , , , , , , , , , , , , , , , , ,0,45,1,14,4,54,92,1,0,26,21, , ,0,17,9,14,14,10,8,26,6
23,2,13,3,50.4,154,0,1,39,31,22,8,6,12,14,19,20,16,4,19,5,24,2,16,5,96,154,0,0,36,26,23,8,5,9,13,17,20,16,6,20,2
38,2,22,6,84,105,1,2,29,24,17,17,6,15,12,14,13,12,9,18,4,38,2,18,5,0,105,1,1,32,23,14,16,5,31,6,11,14,11,5,15,7
35,2,19,4,115.2,170,0,0,34,18,14,22,6,13,8,15,13,11,6,17,0,30,2,13,3,0,130,1,1,35,25,14,18,8,21,8,16,15,13,6,22,4
40,2,16,3,172.8,220,0,0,33,29,16,13,0,12,19,15,14,12,9,23,13,40,2,13,2,0,200,2,0, ,24,21,15,5,22,19,13,11,12,8,23,11
 , , , , , , , , , , , , , , , , , , , ,0,31,3,16,5,30,60,0,0,34,26, , ,0,21, ,15,11,12,8,21,6
78,2,13,3,0,90,8,4,38,21,21,15,5,25,11,15,11,9,9,24,10,70,2,13,4,24,90,6,4,38,25,20,14,5,29,18,16,13,10,9,24,10
42,2,12,2,102.816,147,0,0,34,26,22,10,5,22,14,16,15,12,7,21,0,41,2,12,2,42.24,147,0,0,36,24,23,12,5,14,15,14,15,13,9,24,2
28,2,13,3,52.8,195,7,1,34,27,22,9,8,12,10,15,10,9,14,30,9,25,2,12,3,36,196,1,0,36,26,13,17,5,8,15,15,17,15,4,26,7
27,2,12,2,93.6,111,2,0,32,27,15,13,6,11,2,13,11,10,6,22,1,24,2,12,3,0,111,0,4,32,25,14,16,8,5,9,13,14, ,10,23,6
47,2,8,2,168,180,0,0,39,26,22,15,5,5,17,15,15,14,4,14,0,46,2,14,3,63.6,164,2,1,35,29,15,11,6,12,13,16,17,14,8,24,9
33,2,18,5,120,190,0,1,39,31,12,21,17,26,17,20,17,15,8,18,3,25,2,17,5,110.88,0,1,1,37,24,12,17,8,12,7,12,13,10,8,17,0
42,2,11,2,84,150,0,0,34,24,23,10,5,5,21,20,19,14,5,12,0,42,2,13,3,66,150,0,0,32,23,17,10,5,14,21,20,19,14,5,12,0
65,2,16,3,0,64,5,2,39,28,27,8,5,24,13,19,18, ,10,25,7,61,2,11,2,0,64,7,4,38,21,28,6,5,16,13,20,18, ,10,26,7
 , , , , , , , , , , , , , , , , , , , ,0,33,1,13,3,55.2,58,1,0,41,25, , ,0,10,17,19,18,15,9,27,8
48,2,17,5,180,126,2,1,38,25,11,21,5,19,12,16,17,13,6,14,2,46,2,13,3,63.6,120,3,4,31,18,16,16,7,8,7,12,14,12,7,21,3
54,2,12,3,63.6,116,0,0,29,25,12,13,5,9,15,13,15,10,7,18,4,46,2,13,3,57.6,117,0,1,30,24,11,16,5,20,10,12,15,10,7,18,4
42,2,12,3,126,70,2,2,32,24,26,10,5,3,12,15,17,13,6,26,7,40,2,12,3,29.196,70,0,0,42,20,12,25,5,17,12,18,19,13,8,26,7
29,2,14,2,80.4,92,0,0,42,35,22,11,6,16,14,17,15,10,8,27,6,29,2,12,2,0,92,4,4,42,32,19,9,5,11,9,20,19,14,10,16,6
58,2,13,3,0,90,4,0,38,29,20,8,5,25,19,18,15,14,5,22,7,48,2,14,3,42,90,1,0,39,30,20,8,5,35,19,18,15,14,5,22,7
45,2,13,3,60,140,0,0,35,25,19,14,5,11,13,15,17,14,8,18,6,42,2,13,3,64.8,140,0,0,34,25,17,14,5,14,12,16,15,12,7,19,5
23,2,12,2,54,94,0,0,38,27, ,9,5,24,7,17,16,13,8,25,3,21,2,12,3,49.2,94,2,2,35,28,18,8,5,17,10,12,13,14,10,26,3
 , , , , , , , , , , , , , , , , , , , ,0,37,3,15,3,57.6,80,0,0,22,19, , ,0,6, ,8,10,9,5,18,4
 , , , , , , , , , , , , , , , , , , , ,0,40,3,13,3,54,55,1,0,39,27, , ,0,19, ,15,15,13,6,23,11
56,2,15,5,60,130,0,1,47, ,24,11,5,26,12,14,17,14,10,24,9,52,2,15,5,62.4,120,2,0,45,16,23,15,5,35,14,12,16,14,13,26,14
30,2,16,5,62.4,135,0,0,32,26,21,13,5,15,14,14,15,12,7,21,3,30,2,16,5,67.2,135,0,0,42,33,21,13,6,21,14,20,20,16,6,16,7
 , , , , , , , , , , , , , , , , , , , ,0,37,3,13,3,48.768,66,1,0,37,18, , ,0,12, ,18,18,15,12,26,13
30,2,18,5,72,100,1,0,40,31,22,9,5,20,9,16,14,15,9,27,8,30,2,12,3,48,100,1,4,25,19,20,9,8,16,10,16,13,13,8,27,7
 , , , , , , , , , , , , , , , , , , , ,0,39,3,15,3,50.4,69,1,0,37,24, , ,0,12,10,14,14,11,6,24,10
39,2,12,2,46.368,88,3,4,48,31,25,10,5,21,16,16,12,12,10,28,11,34,2,12,2,0,88,2,0,38,24,23,8,5,14,17,19,17,13,10,30,11
58,2,13,3,48,144,0,0,43,27,21,8,5,21,18,15,16,11,6,20,6,52,2,8,1,33.6,144,1,1,42, ,21,8,5,10,18,16, ,12,6,18,6
34,2,18,5,96,123,1,0,36,26,17,10,6,8,11,18,15,12,5,18,2,31,2,14,3,20.7,124,0,1,38,28,21,11,9,13,11,16,15,12,5,20,1
45,2,12,2,40.32,55,2,0,34,23,14,19,8,8,13,17,15,12,10,19,13,40,2,12,2,44.352,55,4,1,39,21,14,19,9,10,17,17,13,10,9,20,9
37,2,12,2,9.216,145,0,0,36,25,18,16,5,10,10,13,15,10,7,19,0,35,2,18,5,84.672,140,1,0,34,25,18,15,5,15,12,14,15,12,5,19,0
35,2,18,5,84,96,0,0,40,21,22,16,5,12,11,13,18,14,4,16,1,29,2,12,4,42,96,1,0,28,20,23,12,5,14,9,11,12,12,4,23,1
 , , , , , , , , , , , , , , , , , , , ,0,60,3,13,4,0,34,0,0,40,30, , ,0,29, ,19,17,15,7,27,9
37,2,12,2,108,180,3,0,34,22,17,20,12,10,18,16,15,13,5,19,0,37,2,13,3,60,180,1,2,34,18,16,23,8,16,20,16,15, ,5,17,0
46,2,14,3,55.2,84,2,0,30,24,21,8,5,1,2,12,12,10,12,24,7,44,2,13,3,19.992,75,2,0,32,25,16,9,5,7,2,12,12,10,10,22,7
 , , , , , , , , , , , , , , , , , , , ,0,49,3,15,4,67.2,92,13,3,35,23, , ,0,19, ,14,16,13,11,29,12
49,2,11,2,15,94,5,4,40,26,21,11,5,3,10,15,11,9,10,25,4,51,2,17,5,84,200,4,2,28,23,16,13,7,25,8,13,14,13,8,18,7
38,2,17,3,60,123,0,0,31,18,17, ,6,5,16,18,15,14,4,24,3,36,2,17,5,69.6,123,1,0,28,18, , ,6,11,14,16,15,14,4,22,0
52,2,10,2,38.4,107,5,1,43,28,20,11,5,8,19,14,16,12,8,23,0,49,2,11,2,38.4,107,8,2,42,29,18,12,5,14,12,11,13,10,9,19,5
65,2,8,2, ,0,13,0,30,19,6,18,9,0,12,14,11,10,9,27,4,63,2,9,1,0,0,18,1,24,15,5,23,11,10,9, ,13, , ,27,6
47,2,12,2,57.6,110,4,2,29,25,12,14,5,12,10,16,14,8,10,24,3,43,2,16,3,66,110,4,4,40,28,12,12,5,16,13,15,16,13,10,24,4
53,2,11,2,80.64,140,1,4,39,18,16,19,5,8,11,13,17,13,10,26,7,48,2,13,3,73.32,141,7,4,39,23,20,17,5,21,18,15,16,11,9,27,7
37,2,13,3,72,150,1,0,38,24,12,17,5,6,8,17,15,13,8,25,6,49,2,12,4,54,150,1,1,27,27,24,10,5,20,9,13,15,12,9,27,5
 , , , , , , , , , , , , , , , , , , , ,0,36,3,9,3,39.6,72,2,0,33,25, , ,0,16, ,19,15,11,7,19,7
65,2,13,3,0,107,3,1,35,25,21,11,5,16,18,18,15,14,6,21,1,58,2,13,3,0,107,4,1,35,23,23,11,5,10,17,17,15,12,6,21,1
62,2,6,1, ,35,4,2,33,28,21,15,5,9,15,15,13,11, ,28,9,57,2,10,2,0,23,7,4,36,28,24,15,5,10,16,16,14,12, ,28,9
25,2,11,2,31.416,0,2,1,34,24,23,10,5,14,20,20,15,14,12,27,13,22,2,11,2,0,19,2,0,36,24,21,9,5,22,20,18,15,14,10,27,13
31,2,9,3,57.6,112,0,0,37,25,20,13,5,12,14,19,18,14,13,10,11,29,2,13,3,30.72,100,3,4,29,21,13,13,5,6,10,15,14,10,11,29,10
35,2,12,3,54,110,10,4,43,26,18,14,5,26,11,13,15,14,6,22,6,30,2,11,2,36,110,1,0,36,26,18,13,5,7,13,16,16,14,6,22,6
38,2,13,3,90,140,0,0,37,25,15,13,0,18,13,20,18,14,5,14,1,38,2,13,3,0,140,0,0,35,25,17,12,0,8,14,20,18,14,5,14,1
32,2,12,2,48,70,1,0,31,23,15,16,0,4,15,13,12,10,9,23,11,27,2,11,2, ,71,1,1,30,20,15,11,0,14,16,13,15,11,6,19,7
29,2,12,2,72,120,0,0,41,23,19,16,0,8,12,17,15,14,8,13,1,30,2,17,3,0,120,0,0,37, , ,15,0,15,8,16,13,12,6,14,4
 , , , , , , , , , , , , , , , , , , , ,0,33,3,13,3,55.8,56,2,1,39,24, , ,0,12, ,18,19,14,13,28,8
48,2,11,2,56.4,54,0,2,32,24,22,11,5,3,9,18,15,4,6,27,7,48,2,12,2,38.4,98,0,2,32,16,17,15,5,14,16,11,9,7,7,28,7
 , , , , , , , , , , , , , , , , , , , ,0,30,3,12,2,0,130,2,1,28,28, , ,0,16,11,20,18,14,7,23,7
27,2,18,5,48,90,0,0,41,24,18,11,5,16, ,13,14,11,6,27,2,26,2,12,3,0,90,5,3,41,29,20,10,8,12,11,13,15,12, ,19,6
41,2,17,3,72,120,2,1,34,28,13,12,5,18,12,12,15,11,11,27,10,35,2,13,3,60,120,1,0,34,26,17,9,5,14, ,14, ,11,8,24,5
59,2,16,3,42,80,2,1,26,17,13,13,6,23,13,13,13,11,12,25,11,53,2,14,3,60,72,5,3,27,21,17,20,5,29,13,16,14,12,11,20,13
54,2,11,2,0,102,0,0,36,24,20,13,6,5,19,11,14,10,6,21,7,47,2,13,3,13,72,5,0,35,20,12,11,5,29,14,12,18,13,7,19,7
39,2,17,3,48,86,0,0,32,27,17,13,5,6,9,17,18,14,8,26,5,38,2,13,3,67.2,86,0,1,33,28,21, ,20,20,13,14,13,12,11,29,9
55,2,15,3,42,90,0,1,31,26,21,17,6,19,9,14,14,11,9,24,5,48,2,12,3,48,92,1,3,34,25,19,14,5,24,14,15,15,13,10,23,5
53,2,11,2,70.56,155,5,0,38,28,23,14,5,23,18,13,13,10,4,30,7,47,2,12,3,51.6,155,7,3,36,28,18,17,0,32,18,12,14,10,4,30,6
26,2,11,2,56.448,0,0,0,31,28,19,9,5,13,19,18,16,14,8,24,7,22,2,17,4,0,90,0,0,24,25,19,8,5,16,14,18,18,15,5,13,4
20,1,12,3,42,90,2,0,36,29, , ,0,16,15,17,16,10,9,17,1, , , , , , , , , , , , , , , , , , , , ,0
26,2,12,2,36,83,0,1,33,19,17,18,9,16,18,13,16,9,10,27,6,22,2,12,3,42,83,1,2,34,26,19,15,8,17,13,16,14,14,10,23,7
48,2,8,1,91.2,152,0,0,43,24,9,19,7,8,12,13,14,12,9,30,11,40,2,13,3,66,155,3,1,39,25,17,15,7,12,9,11,13,9,10,23,7
51,2,8,2,60,112,3,3,22,19,21,23,14,6, ,10,10,7,8,24,8,54,2,13,3,60,112,7,0,33,16,14,29,15,14,10,17,18,14,8,24,8
52,2,10,2,47.4,115,11,1,44,25,25,11,5,9,16,15,14,15,12,22,7,50,2,12,3,70.8,115,11,2,42,23,24,11,5,8,16,15,14,15,8,22,7
50,2,15,3,78,200,0,0,42,35,21,9,5,13,16,11,11,7, ,26,3,47,2,13,3,91.2,250,4,3,21,19,26, ,6,23,11,15,15,12,12,20,4
36,2,17,5,132,149,0,0,32,26,16,12,6,19,12,15,13,14,4,18,2,28,2,12,4,21.7,149,2,0,27,16,18,10,5,13,9,11,13,10,7,21,3
 , , , , , , , , , , , , , , , , , , , ,0,52,4,11,4,54,52,1,1,37,21, , ,0,9,10,12,11,10,8,25,5
45,2,12,2,66,228,1,0,39,28,21,11,5,11,15,17,19,16,8,28,3,43,2,12,2,33.6,228,2,0,39,28,21,15,5,13,15,17,19,16,8,28,4
51,2,8,2,81.6,141,0,0,35,24,19,16,6,6,9,12,14,11,7,23,7,48,2,9,2,60,142,0,0,33,24,12,18,7,37,16,14,14,11,7,23,7
42,2,9,2,66,90,0,2,33,23,22,10,0,29,16,9,17,12,7,21,8,38,1,9,1,21.84,28,16,4,39,23,24,7,7,20,14,18,14,11,9,28,10
 , , , , , , , , , , , , , , , , , , , ,0,50,1,16,5,105.3,107,1,0,37,25, , ,0,24,10,19,19,15,5,18,3
34,2,11,2,60,120,0,0,36,30,27,6,5,7,16,12,20,11,9,17,1,32,2,17,5,60,120,2,0,32,30,27,6,5,15,15,11,18,10,9,18,1
29,2,12,2,57.6,76,16,3,28,24,23,16,5,6,19,19,12,10,8,30,10,23,2,11,1,0,76,15,1,32,24,20,10,5,16,11,13,11,10,8,30,11
24,2,12,3,66,100,1,0,38,23,22,12,5,20,12,17,17,14,7,16,3,23,2,12,3,12.8,100,1,2,35,26,22,8,5,20,10,13,14,7,7,16,2
37,2,12,2,302.4,80,0,0,39,27,19,17,5,9,9,13,17,10,11,20,9,33,2,17,3,36,80,0,1,27,22,18,15,5,23,13,16,18,11,11,20,9
 , , , , , , , , , , , , , , , , , , , ,0,35,5,9,1,29.92,0,0,0,23,23,19,7,10,11,12,5,12,7,10,25,7
 , , , , , , , , , , , , , , , , , , , ,0,47,1,13,3,60,65,2,1,45,28, , ,0,10, ,12,12,12,6,17,0
38,2,12,2,42,81,8,4,28,19,16,16,5,2,10,15,14, ,13,26,12,35,2,12,2,0,81,3,3,34,23,18,11,5,18,15,18,13,12,13,29,12
61,2,12,4, ,88,14,3,43,26,25,13,5,4,13,20,20,14,6,12,2,63,2,19,3,0,88,2,1,41,23,25,11,5,21,13,20,20,14,5,12,5
 , , , , , , , , , , , , , , , , , , , ,0,65,4,12,3,0,49,12,4,29,21, , ,0,18, ,16,12,13,8,22,9
36,2,12,2,60,130,1,0,34,25,21,12,5,9,18,20,18,14,4,16,4,32,2,13,3,58.8,130,0,0,34,23,24,12,5,14,18,20,17,15,4,15,4
39,2,12,2,74.4,165,1,3,29,29,28,14,5,8,18,20,20,15,7,28,6,34,2,13,3,58.8,165,5,4,34,25,26,13,5,14,18,17,16,12,5,25,4
53,2,11,2,54,152,13,4,29,19,19,20,5,12,9,15,15,12,5,23,2,47,2,18,5,96,152,1,0,29,23,11,12,7,23,11,14,16,13,5,23,2
39,2,9,1,68.688,111,1,0,33,24,24,10,5,0,14,8,9,5,8,21,5,27,2,8,3,0,111,2,0,30,25,18,10,5,1,10,11,12,9,7,21,6
30,2,13,4,44.16,85,0,0,35,25,21,12,5,21,16,17,18,15,5,17,2,32,2,13,3,40.32,85,1,0,34,26,18,11,5,18,12,16,14,12,8,22,4
29,2,13,2,72,88,0,2,38,24,14,20,6,2,19,19,13,12,9,21,11,33,2,13,3,0,89,1,1,43,25,20,22,7,15,13,16,16,12,12,29,15
 , , , , , , , , , , , , , , , , , , , ,0,32,3,13,3,49.2,57,0,0,42,29, , ,0,13, ,19,20,16,9,24,10
 , , , , , , , , , , , , , , , , , , , ,0,41,3,13,3,64.2,57,4,0,31,20, , ,0,13, ,12,8,11,6,11,1
57,2,9,2,60,90,2,0,35,18,20,16,5,7,17,14,12,12,7,23,7,56,2,11,3,0,90,1,0,38,24,21,10,5,6,19,14,13,11,9,25,6
32,2,14,3,58.8,108,0,0,27,18,14,9,11,18,2,15,8,9,11,29,12,25,2,12,3,2.68,108,0,0,35,28,18, ,5,23,13,20,19,16,13,27,14
47,2,13,3,70.8,136,0,0,38,28,26,19,5,28,10,19,17,12,13,30,9,48,2,12,3,32.4,136,3,0,37,31,22,11,5,22,10,17,15,12,12,26,11
42,2,12,2,80.64,140,1,1,38,26,20,13,5,0,9,14,16,13,4,20,0,44,2,13,3,54,140,0,1,41,26,25,10,5,29,13,14,15,12,5,14,4
42,2,14,4,120,170,1,0,42,30,12,15,5,9,14,13,13,12,5,20,0,40,2,13,3,56.4,140,1,1, ,24,16,13,6,21,13,16,17,12,7,20,4
46,2,15,3,60,80,1,0,33,21,18,13,6,8,20,17,17,14,10,27,4,44,2,12,3,60,70,1,0,34,21,18,8,6,19,15,17,15,13,9,22,7
50,2,11,2,69.996,96,1,0,36,22,20,11,5,14,16,14,15,11,10,21,4,46,2,11,3,49.2,96,3,1,42,25,22,8,5,23,14,12,16,8,12,21,8
 , , , , , , , , , , , , , , , , , , , ,0,70,4,10,2,0,30,8,0,34,24, , ,0,14, ,16,16,11,6,24,7
38,5,12,2,60,93,1,0,39,31,15,9,5,18,12,17,17,14,9,23,6,43,5,13,3,0,93,5,2,33,32,20,8,5,17,17,18,17,13,8,22,4
51,2,17,3,60,102,3,2,35,26,27,11,6,8,18,17,17,13,7,22,6,36,2,13,4,48,84,1,0,29,25,21,10,5,5,20,18,17,15,6,26,3
 , , , , , , , , , , , , , , , , , , , ,0,40,1,12,2,38.304,60,2,4,25,17, , ,0,2,8, ,13,10,8,30,8
42,2,13,3,66,120,1,0,26,25, ,7,5,14,10,14,13,10,7,25,7,41,2,14,4,51.6,120,2,0,34,25,24,7,5,15,12,16,15,12,8,21,7
41,2,11,2,10,60,0,0,34,29,19,18,5,4,9,16, ,8,11,20,12,34,2,14,3,36,60,0,0,38,23,12,18,9,12,9, ,15,12,10,22,11
 , , , , , , , , , , , , , , , , , , , ,0,43,1,16,4,58.8,91,1,0,39,24, , ,0,15, ,13,11,10,13,28,9
43,2,9,1,64.8,0,0,0,36,22,24,9,0,12,16,19,17,15,12,25,11,26,2,9,1,0,0,0,0,37,22, , ,0,0,17,17,17,16,9,25,5
39,2,9,2,45.6,78,3,0,40,27,18,8,5,14,16,19,14,13,11,24,7,36,2,9,3,0,60,11,3,34,28,19,7,5,14,18,18,18,11,10,23,7
38,2,11,2,22.848,119,10,4,37,25,18,12,5,16,2,8,16,9,12,25,12,40,2,14,3,43.2,119,2,0,35,26,19,16,6,3,12,14,15,11,10,27,9
62,2,9,1, ,61,5,4,36,23,22,12,5,10,14,11,12,10,5,22,6,65,2,8,1, ,61,16,4,32,21,28,13,5,15,16,13,12,8,5,22,6
43,2,12,2,46.368,130,1,1,32,22,24,14,5,11,15,15,13,11,13,25,16,42,2,17,3,60.48,130,4,0,40,30,21,9,5,7,18,16,15,12,13,25,16
 , , , , , , , , , , , , , , , , , , , ,0,44,3,12,4,72,100,3,0,35,20, , ,0,17, ,15,13,11,8,18,5
41,2,12,2,66,108,1,0,40,31,8,15,5,2,12,13,16,11,9,26,5,38,2,11,2,36,108,7,4,33,21,11,12,5,6,13,14,15,8, ,26,7
57,2,12,3,0,0,0,0,40,20,12,21,6,20,9,12,12,11,6,19,5,55,2,12,3,0,135,1,0,40,22,15,19,6,18,14,19,19,15,6,18,3
33,2,19,5,96,0,0,0,32,31,12,17,5,14,9,14,17,10,9,23,9,27,2,13,3,4,84,2,0,38,29,20,9,5,9,12,20,17,14,8,13,5
 , , , , , , , , , , , , , , , , , , , ,0,70,3,10,3,0,33,2,1,37,26, , ,0,12, ,12,14,8,9,23,6
26,2,12,3,50.4,105,0,0,29,19,21,13,6,16,10,17,14,15,5,28,3,23,2,12,3,40,120,0,0,27,23,22,11,6,11,9,18,13,15,5,16,2
56,3,22,5,72,70,4,2,40,24, , ,0,14, , , , ,7,23,8, , , , , , , , , , , , , , , , , , , , ,0
35,2,12,2,19.5,100,0,0,40,24,23,16,5,4,13,16,18,10,6,20,3,35,2,13,3,43.2,100,0,1,38,27,17,11,5,18,12,12,14,9,7,21,6
30,2,17,5,108,67,0,0,39,31,21,12,5,15,12,14,18,13,4,16,1,27,2,12,4, ,67,0,0,35,25,24,12,5,9,10,13,14,8,4,19,2
 , , , , , , , , , , , , , , , , , , , ,0,44,3,11,3,84,113,1,0,32,28, , ,0,18, ,15,18,12,6,16,2
71,2,11,2, ,60,15,4,32,23,27,8,0,16, , , , ,6,24,11,71,2,11,3, ,67,7,4,33,22,24,8,5,3,18,20,20,16,6,24,10
31,2,17,5,0,170,1,0,44,27,19,8,0,8, , , , ,5,17,0,32,2,17,5,90,180,0,3,37,19,19,12,5,14,18,18,19,15,4,17,3
42,5,13,3,72,115,0,0,40,29, , ,0,15, , , , ,5,17,3,39,5,13,3,55.2,130,0,0,44,28,11,14,5,3,6,17,11,16,4,13,0
52,2,11,2,44.4,160,7,4,39,28,24,12,5,5,16,17,17,12,12,28,7,45,2,13,3,60,165,1,0,38,28,23,10,5,15,15,14,17,13,10,23,9
25,2,12,2,0,40,1,0,30,25,9,16,8,6,18,16,15,10,6,20,6,25,2,14,2,0,52,0,0,35,22,22,13,8,13, ,15,17,14,9,23,3
